label,chunk_size,overlap,chunks,avg_tokens,relation_bytes,ingestion_seconds,hit_at_1,hit_at_3,hit_at_5,recall_at_5,mrr,avg_top_1_similarity,retrieval_avg_seconds,retrieval_p95_seconds
chunk-100-20,100,20,17,85.70588235294117,229376,24.14211910002632,1.0,1.0,1.0,1.0,1.0,0.6876845060808991,0.09887167499982752,0.12319358000531791
chunk-150-30,150,30,11,127.9090909090909,253952,21.598201099957805,1.0,1.0,1.0,1.0,1.0,0.6720794110363195,0.09648402499442454,0.11472121499828063
chunk-200-40,200,40,8,169.625,278528,29.14033580000978,1.0,1.0,1.0,1.0,1.0,0.6491982410869743,0.09548607500619255,0.12929361999849787
chunk-240-40,240,40,8,169.625,294912,24.1634382000193,1.0,1.0,1.0,1.0,1.0,0.6730672026649525,0.13109094998799264,0.15239495498244648
