candidate_k,candidate_hit,reranked_hit_at_1,reranked_hit_at_3,reranked_hit_at_5,reranked_mrr,vector_p50_seconds,vector_p95_seconds,rerank_p50_seconds,rerank_p95_seconds,total_p95_seconds,avg_pairs_per_second
5,1,1,1,1,1.0,0.01367980003124103,0.015112649998627603,0.08498040004633367,0.08858782504103146,0.10240710017387755,60.15960921693264
10,1,1,1,1,1.0,0.01407830003881827,0.016190424939850345,0.15545299998484552,0.17426560001331381,0.1892050999449566,63.81093813783433
20,1,1,1,1,1.0,0.013454800006002188,0.015713099943241104,0.2771986499428749,0.3026782500674017,0.3175971500168089,61.03583885255154
40,1,1,1,1,1.0,0.014276300033088773,0.017206300050020218,0.2787430000025779,0.3079198749328498,0.3239064999506809,60.31553290107526
