architecture,correctness,groundedness,citation_support,unsupported_refusal,vector_mean_seconds,lexical_mean_seconds,fusion_mean_seconds,rerank_mean_seconds,retrieval_p95_seconds,generation_p95_seconds,end_to_end_p95_seconds
vector,0.75,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.020741025015013292,129.7523626350274,129.76941078509554
vector-plus-reranker,0.75,0.75,0.0,1.0,0.018407433351967484,0.0,0.0,0.3005684000284721,0.3289897000940982,91.18689828501083,91.5004435051349
hybrid-rrf,0.75,0.75,0.0,1.0,0.10103920001226167,0.05522896665691709,8.901664599155386e-05,0.0,0.20579732497571968,202.54063305506716,202.71714679993457
hybrid-rrf-plus-reranker,0.75,0.75,0.0,1.0,0.07977426667154457,0.05282350000925362,7.1966671384871e-05,0.5281083833154602,1.3453284749703016,184.99114072000958,185.48403642997727
